split,feature,macro_f1,balanced_accuracy,f1_drop
22,PR.AXIS_ASPECT_RATIO,0.737630821559393,0.7331709956709955,0.10753424372762344
22,MAX.LENGTH_ASPECT_RATIO,0.8567229518449031,0.8598484848484849,-0.011557886557886698
22,SCATTER_RATIO,0.7592950784440146,0.7616883116883117,0.08586998684300184
22,ELONGATEDNESS,0.6410216355541669,0.6521103896103897,0.2041434297328495
22,PR.AXIS_RECTANGULARITY,0.6792468760553867,0.6724025974025973,0.1659181892316297
22,MAX.LENGTH_RECTANGULARITY,0.7585587899940649,0.7759199134199135,0.0866062752929515
22,SCALED_VARIANCE_MAJOR,0.7668803418803418,0.7747835497835498,0.07828472340667458
22,SCALED_VARIANCE_MINOR,0.7361751365729333,0.7401515151515151,0.10898992871408308
22,SCALED_RADIUS_OF_GYRATION,0.6448996655518395,0.6321428571428571,0.20026539973517687
22,SKEWNESS_ABOUT_MAJOR,0.6916257501363885,0.6969155844155843,0.1535393151506279
22,SKEWNESS_ABOUT_MINOR,0.8567229518449031,0.8598484848484849,-0.011557886557886698
22,KURTOSIS_ABOUT_MAJOR,0.7939024390243902,0.800865800865801,0.05126262626262623
22,KURTOSIS_ABOUT_MINOR,0.6852619925417408,0.6941558441558442,0.1599030727452756
22,HOLLOWS_RATIO,0.6236761426978817,0.6263528138528138,0.22148892258913466
23,COMPACTNESS,0.7412894203002908,0.7450757575757576,0.0956362745380529
23,CIRCULARITY,0.6442099356659519,0.6504329004329005,0.1927157591723918
23,DISTANCE_CIRCULARITY,0.7385510510510511,0.7462121212121212,0.09837464378729255
23,RADIUS_RATIO,0.6669733044733044,0.6570346320346321,0.16995239036503929
23,PR.AXIS_ASPECT_RATIO,0.7472583310997946,0.7450757575757576,0.08966736373854911
23,MAX.LENGTH_ASPECT_RATIO,0.8586474501108647,0.8609307359307359,-0.02172175527252107
23,SCATTER_RATIO,0.7299409726715241,0.7418831168831168,0.10698472216681953
23,ELONGATEDNESS,0.7154706564058492,0.714556277056277,0.1214550384324945
23,PR.AXIS_RECTANGULARITY,0.8046715626274988,0.8012987012987013,0.03225413221084483
23,MAX.LENGTH_RECTANGULARITY,0.7690217391304348,0.7786255411255412,0.06790395570790886
23,SCALED_VARIANCE_MAJOR,0.8369256948383437,0.8376623376623377,0.0
23,SCALED_VARIANCE_MINOR,0.655681887645944,0.6829004329004329,0.18124380719239963
23,SCALED_RADIUS_OF_GYRATION,0.8061518584774398,0.797943722943723,0.030773836360903917
23,SKEWNESS_ABOUT_MAJOR,0.7182394156231365,0.7087121212121212,0.11868627921520714
23,SKEWNESS_ABOUT_MINOR,0.8369256948383437,0.8376623376623377,0.0
23,KURTOSIS_ABOUT_MAJOR,0.8465510727896977,0.8484848484848484,-0.009625377951353986
23,KURTOSIS_ABOUT_MINOR,0.7654456654456654,0.7667748917748918,0.07148002939267828
23,HOLLOWS_RATIO,0.6292947769793827,0.640530303030303,0.20763091785896093
24,COMPACTNESS,0.810646325768277,0.8176406926406926,0.05107727671619511
24,CIRCULARITY,0.7232237539766702,0.7272727272727273,0.13849984850780195
24,DISTANCE_CIRCULARITY,0.7562294100029949,0.7835497835497836,0.10549419248147718
24,RADIUS_RATIO,0.6994000837325671,0.6983766233766233,0.16232351875190498
24,PR.AXIS_ASPECT_RATIO,0.7359150717703349,0.7325757575757575,0.12580853071413722
24,MAX.LENGTH_ASPECT_RATIO,0.8613627564847077,0.8636363636363636,0.0003608459997643809
24,SCATTER_RATIO,0.840433359084722,0.8392316017316017,0.021290243399750053
24,ELONGATEDNESS,0.7708389909875155,0.7653679653679655,0.09088461149695659
24,PR.AXIS_RECTANGULARITY,0.8074335421281796,0.8034632034632034,0.05429006035629247
24,MAX.LENGTH_RECTANGULARITY,0.8319377990430622,0.8397727272727273,0.029785803441409908
24,SCALED_VARIANCE_MAJOR,0.8530122359909594,0.8511363636363636,0.008711366493512673
24,SCALED_VARIANCE_MINOR,0.7558372183372184,0.7591450216450217,0.10588638414725371
24,SCALED_RADIUS_OF_GYRATION,0.7963599595551062,0.790909090909091,0.06536364292936592
24,SKEWNESS_ABOUT_MAJOR,0.7450845665961945,0.746103896103896,0.11663903588827762
24,SKEWNESS_ABOUT_MINOR,0.8250052405731336,0.8284090909090909,0.03671836191133848
24,KURTOSIS_ABOUT_MAJOR,0.8616118769883351,0.8636363636363635,0.00011172549613702731
24,KURTOSIS_ABOUT_MINOR,0.7668297128403512,0.770508658008658,0.09489388964412093
24,HOLLOWS_RATIO,0.5944438381413171,0.6058982683982683,0.26727976434315504
25,COMPACTNESS,0.7693531283138918,0.7727272727272727,0.07023020501944155
25,CIRCULARITY,0.7188600406685512,0.7272727272727273,0.1207232926647821
25,DISTANCE_CIRCULARITY,0.7948970793047447,0.8068181818181818,0.04468625402858861
25,RADIUS_RATIO,0.6326378935074588,0.6280303030303029,0.20694543982587454
25,PR.AXIS_ASPECT_RATIO,0.7954663693794128,0.7927489177489178,0.04411696395392051
25,MAX.LENGTH_ASPECT_RATIO,0.8627111906181674,0.8625,-0.02312785728483402
25,SCATTER_RATIO,0.7724137931034483,0.7954545454545454,0.06716954022988508
25,ELONGATEDNESS,0.7606357694592989,0.7681818181818183,0.07894756387403445
25,PR.AXIS_RECTANGULARITY,0.7756480970766685,0.7687770562770563,0.06393523625666486
25,MAX.LENGTH_RECTANGULARITY,0.7466245644599303,0.7568181818181818,0.09295876887340304
25,SCALED_VARIANCE_MAJOR,0.8251155336911151,0.8295454545454546,0.014467799642218226
25,SCALED_VARIANCE_MINOR,0.7208333333333333,0.7489177489177489,0.11875000000000002
25,SCALED_RADIUS_OF_GYRATION,0.8048743056209396,0.8045454545454546,0.0347090277123937
25,SKEWNESS_ABOUT_MAJOR,0.7181114551083592,0.7070346320346321,0.12147187822497418
25,SKEWNESS_ABOUT_MINOR,0.8386304909560723,0.8409090909090908,0.0009528423772610095
25,KURTOSIS_ABOUT_MAJOR,0.8610526315789473,0.8636363636363636,-0.021469298245613944
25,KURTOSIS_ABOUT_MINOR,0.7883336258336259,0.7920454545454546,0.051249707499707475
25,HOLLOWS_RATIO,0.596703103845961,0.6087121212121211,0.2428802294873723
26,COMPACTNESS,0.7918050941306756,0.7981601731601732,0.089079761229506
26,CIRCULARITY,0.8075719822812846,0.810064935064935,0.073312873078897
26,DISTANCE_CIRCULARITY,0.7630736806166534,0.7743506493506493,0.1178111747435282
26,RADIUS_RATIO,0.8162581828740366,0.8081709956709957,0.06462667248614495
26,PR.AXIS_ASPECT_RATIO,0.8001325556733827,0.8003246753246753,0.08075229968679887
26,MAX.LENGTH_ASPECT_RATIO,0.8188285291943829,0.8213744588744589,0.0620563261657987
26,SCATTER_RATIO,0.8336753825884262,0.8326839826839826,0.047209472771755356
26,ELONGATEDNESS,0.7610418339355012,0.7713744588744589,0.1198430214246804
26,PR.AXIS_RECTANGULARITY,0.8455142418557053,0.8445887445887446,0.035370613504476234
26,MAX.LENGTH_RECTANGULARITY,0.7559245805224009,0.7600649350649351,0.12496027483778072
26,SCALED_VARIANCE_MAJOR,0.8808848553601815,0.8814935064935066,1.1102230246251565e-16
26,SCALED_VARIANCE_MINOR,0.7612559389847462,0.7737554112554113,0.11962891637543538
26,SCALED_RADIUS_OF_GYRATION,0.8045431893687707,0.8094696969696971,0.0763416659914109
26,SKEWNESS_ABOUT_MAJOR,0.7628484501768255,0.7611471861471861,0.11803640518335612
26,SKEWNESS_ABOUT_MINOR,0.8325329299804626,0.8338744588744589,0.048351925379718996
26,KURTOSIS_ABOUT_MAJOR,0.8184108527131783,0.8219696969696969,0.06247400264700331
26,KURTOSIS_ABOUT_MINOR,0.6917832984120914,0.6920454545454545,0.18910155694809017
26,HOLLOWS_RATIO,0.6948689481017067,0.7180194805194805,0.18601590725847483
27,COMPACTNESS,0.7184472504239946,0.7267316017316018,0.12060319188731727
27,CIRCULARITY,0.8022217607973421,0.8100649350649352,0.036828681513969785
27,DISTANCE_CIRCULARITY,0.7338364338364338,0.7391774891774892,0.10521400847487805
27,RADIUS_RATIO,0.6202437771681262,0.6192099567099567,0.2188066651431857
27,PR.AXIS_ASPECT_RATIO,0.6970595273861873,0.693668831168831,0.1419909149251246
27,MAX.LENGTH_ASPECT_RATIO,0.8085836384262363,0.8100108225108225,0.03046680388507561
27,SCATTER_RATIO,0.7568134822167081,0.7737554112554113,0.0822369600946038
27,ELONGATEDNESS,0.751882863724969,0.7612012987012987,0.08716757858634283
27,PR.AXIS_RECTANGULARITY,0.7436275579213754,0.7385822510822511,0.09542288438993651
27,MAX.LENGTH_RECTANGULARITY,0.7180635262234976,0.7278138528138528,0.12098691608781431
27,SCALED_VARIANCE_MAJOR,0.827181659803611,0.8338744588744589,0.011868782507700848
27,SCALED_VARIANCE_MINOR,0.7289673740893252,0.751082251082251,0.11008306822198666
27,SCALED_RADIUS_OF_GYRATION,0.7444818279291604,0.7373917748917749,0.09456861438215147
27,SKEWNESS_ABOUT_MAJOR,0.6772992772992773,0.6823051948051948,0.16175116501203457
27,SKEWNESS_ABOUT_MINOR,0.8307661330917144,0.8338744588744589,0.008284309219597441
27,KURTOSIS_ABOUT_MAJOR,0.7585804693274205,0.7743506493506493,0.08046997298389136
27,KURTOSIS_ABOUT_MINOR,0.7688221630115462,0.7754329004329004,0.07022827929976572
27,HOLLOWS_RATIO,0.5881756756756756,0.598917748917749,0.25087476663563624
28,COMPACTNESS,0.7578320802005013,0.762987012987013,0.11015887587185014
28,CIRCULARITY,0.7231047937569677,0.7255952380952382,0.14488616231538376
28,DISTANCE_CIRCULARITY,0.8031706124729381,0.810064935064935,0.06482034359941335
28,RADIUS_RATIO,0.6512250453720508,0.642965367965368,0.2167659107003006
28,PR.AXIS_ASPECT_RATIO,0.7089521968871969,0.7067099567099567,0.15903875918515453
28,MAX.LENGTH_ASPECT_RATIO,0.8544183120402633,0.8571428571428572,0.013572644032088133
28,SCATTER_RATIO,0.7139404544842692,0.725,0.1540505015880822
28,ELONGATEDNESS,0.7182004877422667,0.7220238095238095,0.1497904683300847
28,PR.AXIS_RECTANGULARITY,0.7639751552795031,0.759469696969697,0.10401580079284833
28,MAX.LENGTH_RECTANGULARITY,0.7376984126984127,0.7482142857142857,0.1302925433739387
28,SCALED_VARIANCE_MAJOR,0.8664893617021276,0.8690476190476191,0.001501594370223791
28,SCALED_VARIANCE_MINOR,0.7075610975625042,0.725,0.16042985850984726
28,SCALED_RADIUS_OF_GYRATION,0.8122176524350436,0.8077380952380953,0.055773303637307814
