split,repeat,row_index,edge_features,error
5,0,33,1,False
5,0,35,1,True
5,0,40,0,False
5,0,48,0,False
5,0,63,0,False
5,0,70,1,False
5,0,78,0,False
5,0,83,2,False
5,0,86,0,False
5,0,107,0,False
5,0,136,0,False
5,0,138,1,False
5,0,141,4,False
5,0,148,3,True
5,0,190,1,False
5,0,207,2,False
5,0,209,2,False
5,0,212,0,False
5,0,220,2,False
5,0,221,0,False
5,0,235,0,False
5,0,236,1,False
5,0,246,1,False
5,0,248,1,False
5,0,269,5,False
5,0,272,0,False
5,0,284,1,False
5,0,319,2,False
5,0,342,2,False
5,0,351,2,False
5,0,352,0,False
5,0,371,0,False
5,0,380,2,False
5,0,395,1,True
5,0,401,0,False
5,0,404,0,False
5,0,408,0,False
5,0,409,0,True
5,0,416,0,False
5,0,440,0,False
5,0,444,9,False
5,0,446,0,False
5,0,462,0,True
5,0,468,1,False
5,0,475,0,True
5,0,489,1,False
5,0,508,0,False
5,0,512,3,False
5,0,514,0,False
5,0,522,1,True
5,0,527,1,True
5,0,553,3,False
5,0,559,3,True
5,0,570,2,False
5,0,600,0,False
5,0,625,0,False
5,0,644,0,False
5,0,650,0,True
5,0,655,10,False
5,0,662,1,True
5,0,673,2,True
5,0,678,0,False
5,0,681,1,False
5,0,694,0,False
5,0,698,0,False
5,0,710,5,False
5,0,711,1,False
5,0,716,0,False
5,0,722,1,False
5,0,727,1,False
5,0,746,0,False
5,0,758,2,False
5,0,763,1,False
5,0,769,1,False
5,0,774,0,False
5,0,775,0,False
5,0,801,0,True
5,0,802,0,False
5,0,806,1,True
5,0,821,3,False
5,0,822,0,False
5,0,837,0,False
6,0,46,0,False
6,0,50,3,True
6,0,53,2,False
6,0,56,0,False
6,0,65,1,True
6,0,74,0,False
6,0,79,5,False
6,0,82,1,False
6,0,122,1,False
6,0,147,0,False
6,0,152,6,True
6,0,167,2,False
6,0,168,0,False
6,0,176,1,False
6,0,181,10,False
6,0,211,1,False
6,0,217,2,True
6,0,226,1,False
6,0,260,3,False
6,0,262,5,False
6,0,265,1,False
6,0,266,2,False
6,0,273,0,False
6,0,275,1,False
6,0,278,4,False
6,0,288,0,False
6,0,291,4,False
6,0,315,2,False
6,0,320,0,False
6,0,331,0,False
6,0,333,1,False
6,0,335,2,False
6,0,347,2,False
6,0,363,0,False
6,0,374,9,False
6,0,397,1,False
6,0,398,0,False
6,0,405,0,False
6,0,414,0,False
6,0,423,1,False
6,0,427,1,True
6,0,429,0,False
6,0,433,0,False
6,0,439,4,False
6,0,455,1,False
6,0,463,3,True
6,0,480,0,False
6,0,483,0,True
6,0,487,0,False
6,0,493,0,False
6,0,494,8,False
6,0,498,9,False
6,0,500,4,False
6,0,516,4,False
6,0,525,0,False
6,0,532,0,False
6,0,574,0,False
6,0,575,1,False
6,0,588,0,True
6,0,602,3,False
6,0,610,1,False
6,0,616,0,False
6,0,617,7,False
6,0,636,3,False
6,0,659,0,False
6,0,667,2,False
6,0,672,1,False
6,0,677,0,False
6,0,693,0,False
6,0,745,0,False
6,0,747,2,False
6,0,767,0,False
6,0,778,1,False
6,0,779,2,False
6,0,792,1,False
6,0,795,5,False
6,0,808,0,False
6,0,814,0,False
6,0,820,0,True
6,0,824,0,False
6,0,832,1,False
6,0,833,0,False
6,0,840,5,True
6,0,842,0,False
7,0,5,8,False
7,0,9,0,True
7,0,14,0,False
7,0,15,1,False
7,0,30,0,False
7,0,45,0,False
7,0,47,2,False
7,0,57,0,False
7,0,64,0,False
7,0,69,1,False
7,0,75,0,False
7,0,81,0,False
7,0,88,1,False
7,0,145,3,False
7,0,155,9,False
7,0,162,1,False
7,0,163,0,True
7,0,164,0,False
7,0,170,0,True
7,0,175,1,False
7,0,177,0,True
7,0,203,1,False
7,0,230,10,False
7,0,242,1,False
7,0,244,0,False
7,0,253,0,False
7,0,261,0,True
7,0,267,0,False
7,0,279,0,False
7,0,282,0,False
7,0,305,0,False
7,0,313,0,False
7,0,316,0,False
7,0,322,1,False
7,0,340,0,False
7,0,345,6,False
7,0,348,0,False
7,0,388,5,True
