method,split,kind,level,realization,macro_f1,balanced_accuracy
knn,27,noise,0.2,16,0.6836273640017259,0.6779220779220779
knn,27,noise,0.2,17,0.6902406796266694,0.6909632034632034
knn,27,noise,0.2,18,0.6683791015186364,0.665422077922078
knn,27,noise,0.2,19,0.6485723964382502,0.6552489177489178
knn,27,missing,0.05,0,0.6924645390070923,0.7023268398268399
knn,27,missing,0.05,1,0.72090934493633,0.725
knn,27,missing,0.05,2,0.6755886390032732,0.6790584415584415
knn,27,missing,0.05,3,0.6346153846153846,0.6421536796536796
knn,27,missing,0.05,4,0.6678337619826982,0.6773809523809523
knn,27,missing,0.05,5,0.7009921025266295,0.713095238095238
knn,27,missing,0.05,6,0.6744851258581236,0.6778679653679653
knn,27,missing,0.05,7,0.6698491970231101,0.6779220779220779
knn,27,missing,0.05,8,0.660400592315486,0.665422077922078
knn,27,missing,0.05,9,0.6883087164551696,0.6892316017316017
knn,27,missing,0.05,10,0.6726608187134503,0.6779220779220779
knn,27,missing,0.05,11,0.6823491970231101,0.6904220779220779
knn,27,missing,0.05,12,0.6762140637140637,0.6772727272727272
knn,27,missing,0.05,13,0.7023809523809523,0.7142316017316017
knn,27,missing,0.05,14,0.7079071792957571,0.7130411255411255
knn,27,missing,0.05,15,0.6867415432644997,0.6897727272727273
knn,27,missing,0.05,16,0.6955117297147927,0.7023268398268399
knn,27,missing,0.05,17,0.696796068184646,0.7011363636363637
knn,27,missing,0.05,18,0.7058637752721821,0.7142316017316017
knn,27,missing,0.05,19,0.7,0.7017316017316018
knn,27,missing,0.1,0,0.7314636752136752,0.7374458874458875
knn,27,missing,0.1,1,0.6881241769895003,0.6898268398268398
knn,27,missing,0.1,2,0.6752136752136753,0.6898268398268398
knn,27,missing,0.1,3,0.6818775662560657,0.6898268398268398
knn,27,missing,0.1,4,0.73975508390402,0.7488095238095238
knn,27,missing,0.1,5,0.6938255007403944,0.7017316017316018
knn,27,missing,0.1,6,0.68274231678487,0.6903679653679654
knn,27,missing,0.1,7,0.7043803418803419,0.7028138528138528
knn,27,missing,0.1,8,0.693853427895981,0.7017316017316018
knn,27,missing,0.1,9,0.698970473970474,0.7022727272727273
knn,27,missing,0.1,10,0.7220919324577861,0.7266774891774892
knn,27,missing,0.1,11,0.671875588179936,0.6898268398268398
knn,27,missing,0.1,12,0.6552920763447079,0.665422077922078
knn,27,missing,0.1,13,0.6476783552030049,0.6660173160173161
knn,27,missing,0.1,14,0.7185301504450441,0.7249458874458875
knn,27,missing,0.1,15,0.6886363636363636,0.6909090909090909
knn,27,missing,0.1,16,0.6819059721117141,0.6892316017316018
knn,27,missing,0.1,17,0.7210177568873221,0.726082251082251
knn,27,missing,0.1,18,0.6627318295739348,0.6767857142857142
knn,27,missing,0.1,19,0.620211275458014,0.6188852813852814
svm,27,noise,0.05,0,0.8164445203918889,0.821969696969697
svm,27,noise,0.05,1,0.7931679975131627,0.7987012987012987
svm,27,noise,0.05,2,0.8428952816824671,0.8463203463203464
svm,27,noise,0.05,3,0.8294835735185682,0.8338744588744589
svm,27,noise,0.05,4,0.8329686951354562,0.8344155844155844
svm,27,noise,0.05,5,0.8191379240970313,0.8225108225108224
svm,27,noise,0.05,6,0.8286850477200425,0.8338744588744589
svm,27,noise,0.05,7,0.8277826527826528,0.8338744588744589
svm,27,noise,0.05,8,0.7823978347234162,0.7862554112554112
svm,27,noise,0.05,9,0.817437003361116,0.8225108225108224
svm,27,noise,0.05,10,0.8094151240138194,0.8106060606060607
svm,27,noise,0.05,11,0.8524072774072775,0.8576839826839827
svm,27,noise,0.05,12,0.8049963602289183,0.810064935064935
svm,27,noise,0.05,13,0.7837994789214301,0.7867965367965368
svm,27,noise,0.05,14,0.8332387975042541,0.8338744588744589
